book_id	edition	isbn	chapter_number	chapter_title	pages	source_url
B01	4th ed. (OUP 2013)	9780199668632		Preliminaries	1-12	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0001
B01	4th ed. (OUP 2013)	9780199668632		Electron optics	13-45	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0002
B01	4th ed. (OUP 2013)	9780199668632		Wave optics	46-66	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0003
B01	4th ed. (OUP 2013)	9780199668632		Coherence and Fourier optics	67-87	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0004
B01	4th ed. (OUP 2013)	9780199668632		TEM imaging of thin crystals and their defects	88-153	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0005
B01	4th ed. (OUP 2013)	9780199668632		Imaging molecules: radiation damage	154-203	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0006
B01	4th ed. (OUP 2013)	9780199668632		Image processing, super-resolution, and diffractive imaging	204-232	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0007
B01	4th ed. (OUP 2013)	9780199668632		Scanning transmission electron microscopy and Z-contrast	233-263	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0008
B01	4th ed. (OUP 2013)	9780199668632		Electron sources and detectors	264-288	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0009
B01	4th ed. (OUP 2013)	9780199668632		Measurement of electron-optical parameters	289-314	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0010
B01	4th ed. (OUP 2013)	9780199668632		Instabilities and the microscope environment	315-323	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0011
B01	4th ed. (OUP 2013)	9780199668632		Experimental methods	324-347	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0012
B01	4th ed. (OUP 2013)	9780199668632		Associated techniques	348-387	https://api.crossref.org/works?filter=prefix:10.1093,type:book-chapter&query.container-title=High-Resolution+Electron+Microscopy&query.author=Spence&rows=40 ; doi: https://doi.org/10.1093/acprof:oso/9780199668632.003.0013
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092		Frontmatter	i-vi	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/frontmatter/E420DB61A4E9EF4C7353B4C48B0067EE
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092		Contents	vii-xiii	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/contents/4447B248D13FE3375914524FD975AC1B
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092		Preface	xiv-xviii	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/preface/0BBA95C7760433E348A4D448A67E2E45
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092		Acknowledgements	xix-xx	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/acknowledgements/0AE877A014F378C89586E0A1D195D0BB
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092		Figure reproductions	xxi-xxii	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/figure-reproductions/68605EA8E2907174C93215141E240D74
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	1	Basic crystallography	1-78	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/basic-crystallography/826BA518B983FB1DEF31E898F0C02710
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	2	Basic quantum mechanics, Bragg's Law and other tools	79-135	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/basic-quantum-mechanics-braggs-law-and-other-tools/A7647DA48A298D503DB8882CA0D89C48
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	3	The transmission electron microscope	136-234	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/transmission-electron-microscope/F3A0A8CA3DECF7D1428539FE1A0134E8
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	4	Getting started	235-302	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/getting-started/728DA5FBFE4BC8AB6DD16446A772623D
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	5	Dynamical electron scattering in perfect crystals	303-344	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/dynamical-electron-scattering-in-perfect-crystals/25C16E2668E14EECB6D6BC2153A9D21B
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	6	Two-beam theory in defect-free crystals	345-394	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/twobeam-theory-in-defectfree-crystals/9235A961EE0A1705A091B165A99CB913
B02	2003 (CUP)	9780521620062/9780521629959/9780511615092	7	Systematic row and zone axis orientations	395-459	https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/257FBB684B79174B1C6D3ACCC256ECC0 ; chapter: https://www.cambridge.org/core/books/introduction-to-conventional-transmission-electron-microscopy/systematic-row-and-zone-axis-orientations/A08ED8C8E9ACA0C0CB355341DE4C7BEF
